Date;Day;Price;Open;High;Low;Change %
2018-11-15;Thu;1213.72;1,211.06;1,216.52;1,208.12;0.22%
2018-11-14;Wed;1211.06;1,203.13;1,216.51;1,197.94;0.72%
2018-11-13;Tue;1202.35;1,200.96;1,205.57;1,196.29;0.14%
2018-11-12;Mon;1200.65;1,209.46;1,211.45;1,200.18;-0.84%
2018-11-11;Sun;1210.81;1,208.41;1,210.82;1,208.41;0.10%
2018-11-09;Fri;1209.6;1,223.88;1,223.97;1,206.52;-1.14%
2018-11-08;Thu;1223.54;1,225.99;1,227.05;1,219.63;-0.21%
2018-11-07;Wed;1226.11;1,227.24;1,236.23;1,223.31;-0.06%
2018-11-06;Tue;1226.8;1,231.66;1,236.31;1,223.41;-0.37%
2018-11-05;Mon;1231.3;1,233.36;1,235.46;1,226.88;-0.23%
2018-11-04;Sun;1234.17;1,233.19;1,234.26;1,232.70;0.10%
2018-11-02;Fri;1232.89;1,234.04;1,236.79;1,229.85;-0.03%
2018-11-01;Thu;1233.23;1,215.20;1,237.83;1,214.84;1.54%
2018-10-31;Wed;1214.54;1,223.00;1,223.70;1,211.92;-0.73%
2018-10-30;Tue;1223.44;1,230.17;1,231.45;1,220.22;-0.51%
2018-10-29;Mon;1229.74;1,234.15;1,235.79;1,224.45;-0.25%
2018-10-28;Sun;1232.88;1,234.53;1,234.90;1,232.87;-0.06%
2018-10-26;Fri;1233.59;1,232.24;1,243.73;1,229.80;0.11%
2018-10-25;Thu;1232.23;1,234.59;1,239.85;1,228.08;-0.16%
2018-10-24;Wed;1234.22;1,231.06;1,234.27;1,225.74;0.30%
2018-10-23;Tue;1230.48;1,222.32;1,240.00;1,221.71;0.68%
2018-10-22;Mon;1222.17;1,228.61;1,230.18;1,220.30;-0.42%
2018-10-21;Sun;1227.35;1,227.38;1,228.26;1,226.67;0.08%
2018-10-19;Fri;1226.32;1,225.65;1,231.08;1,223.04;0.05%
2018-10-18;Thu;1225.75;1,222.35;1,230.85;1,218.78;0.25%
2018-10-17;Wed;1222.68;1,224.08;1,229.90;1,220.32;-0.14%
2018-10-16;Tue;1224.43;1,227.12;1,232.77;1,223.35;-0.20%
2018-10-15;Mon;1226.93;1,217.45;1,233.65;1,217.40;0.62%
2018-10-14;Sun;1219.33;1,217.35;1,220.35;1,216.98;0.11%
2018-10-12;Fri;1217.93;1,224.17;1,224.45;1,215.61;-0.52%
2018-10-11;Thu;1224.33;1,195.01;1,226.87;1,191.30;2.47%
2018-10-10;Wed;1194.78;1,189.59;1,195.19;1,185.22;0.43%
2018-10-09;Tue;1189.62;1,189.01;1,192.23;1,183.49;0.14%
2018-10-08;Mon;1188.01;1,203.14;1,204.48;1,183.58;-1.32%
2018-10-07;Sun;1203.85;1,203.31;1,204.12;1,202.93;0.08%
2018-10-05;Fri;1202.86;1,199.41;1,206.18;1,197.01;0.27%
2018-10-04;Thu;1199.66;1,197.35;1,207.11;1,195.76;0.19%
2018-10-03;Wed;1197.37;1,203.39;1,208.77;1,196.71;-0.48%
2018-10-02;Tue;1203.1;1,189.20;1,208.65;1,188.57;1.23%
2018-10-01;Mon;1188.46;1,192.55;1,192.95;1,184.94;-0.21%
2018-09-30;Sun;1190.99;1,192.51;1,192.53;1,190.81;-0.09%
2018-09-28;Fri;1192.09;1,183.21;1,194.00;1,180.74;0.79%
2018-09-27;Thu;1182.8;1,194.80;1,198.94;1,181.98;-0.98%
2018-09-26;Wed;1194.46;1,201.23;1,202.84;1,190.53;-0.57%
2018-09-25;Tue;1201.31;1,198.84;1,203.71;1,197.21;0.20%
2018-09-24;Mon;1198.86;1,198.56;1,204.48;1,194.23;0.07%
2018-09-23;Sun;1198.05;1,199.19;1,199.38;1,197.16;-0.13%
2018-09-21;Fri;1199.55;1,207.52;1,211.47;1,191.96;-0.66%
2018-09-20;Thu;1207.58;1,204.16;1,209.14;1,201.47;0.30%
2018-09-19;Wed;1203.98;1,197.84;1,206.53;1,197.81;0.47%
2018-09-18;Tue;1198.35;1,202.14;1,204.28;1,196.21;-0.21%
2018-09-17;Mon;1200.93;1,193.18;1,205.20;1,192.97;0.62%
2018-09-16;Sun;1193.48;1,194.38;1,194.86;1,193.15;-0.02%
2018-09-14;Fri;1193.71;1,201.76;1,208.98;1,193.13;-0.64%
2018-09-13;Thu;1201.44;1,207.30;1,213.39;1,200.37;-0.39%
